Company,Symbol,Weight,Price,Chg,% Chg
Wabtec,WAB,0.07%,247.00,2.32,(0.95%)
Ameriprise Financial,AMP,0.07%,461.48,-3.41,(-0.73%)
Public Service Enterprise Group,PEG,0.07%,84.04,0.69,(0.83%)
American International Group,AIG,0.07%,77.62,-1.10,(-1.40%)
eBay,EBAY,0.07%,92.91,0.20,(0.22%)
MSCI,MSCI,0.07%,564.41,-4.83,(-0.85%)
Old Dominion,ODFL,0.07%,197.22,3.25,(1.68%)
Ventas,VTR,0.07%,86.21,1.34,(1.58%)
Sysco,SYY,0.07%,84.70,-0.53,(-0.62%)
CBRE Group,CBRE,0.07%,136.94,0.11,(0.08%)
Consolidated Edison,ED,0.07%,111.80,-0.48,(-0.43%)
PG&E Corporation,PCG,0.06%,18.17,-0.01,(-0.06%)
Take-Two Interactive,TTWO,0.06%,214.63,3.13,(1.48%)
Delta Air Lines,DAL,0.06%,60.58,1.57,(2.66%)
"Block, Inc.",XYZ,0.06%,65.54,-0.79,(-1.19%)
Crown Castle,CCI,0.06%,89.73,-0.70,(-0.77%)
"Workday, Inc.",WDAY,0.06%,148.14,-2.90,(-1.92%)
Live Nation Entertainment,LYV,0.06%,165.80,9.67,(6.19%)
EQT Corporation,EQT,0.06%,62.23,0.27,(0.44%)
Nucor,NUE,0.06%,169.47,0.72,(0.43%)
Keurig Dr Pepper,KDP,0.06%,28.19,-0.06,(-0.21%)
Hartford (The),HIG,0.06%,137.95,-1.30,(-0.93%)
WEC Energy Group,WEC,0.06%,115.59,-0.18,(-0.16%)
Roper Technologies,ROP,0.06%,363.06,-4.44,(-1.21%)
Texas Pacific Land Corporation,TPL,0.06%,539.79,14.76,(2.81%)
Martin Marietta Materials,MLM,0.06%,612.52,2.53,(0.41%)
ResMed,RMD,0.06%,252.93,0.06,(0.02%)
Carnival,CCL,0.06%,26.39,0.60,(2.33%)
Las Vegas Sands,LVS,0.06%,53.91,0.31,(0.58%)
Copart,CPRT,0.06%,37.57,-0.17,(-0.45%)
Vulcan Materials Company,VMC,0.06%,274.33,-0.66,(-0.24%)
Paychex,PAYX,0.06%,98.30,-2.55,(-2.53%)
Microchip Technology,MCHP,0.06%,65.00,0.23,(0.36%)
Kenvue,KVUE,0.06%,18.16,-0.23,(-1.25%)
GE HealthCare,GEHC,0.06%,75.63,1.36,(1.83%)
Fair Isaac,FICO,0.06%,1441.20,-34.80,(-2.36%)
Kimberly-Clark,KMB,0.06%,102.85,-1.73,(-1.65%)
Otis Worldwide,OTIS,0.06%,87.57,-1.65,(-1.85%)
Arch Capital Group,ACGL,0.06%,95.62,-1.59,(-1.64%)
State Street Corporation,STT,0.06%,121.93,0.89,(0.74%)
Ingersoll Rand,IR,0.06%,86.66,0.23,(0.27%)
Estée Lauder Companies (The),EL,0.05%,92.63,-0.09,(-0.10%)
Prudential Financial,PRU,0.05%,95.93,-1.19,(-1.23%)
NRG Energy,NRG,0.05%,155.42,1.10,(0.71%)
Agilent Technologies,A,0.05%,116.64,1.57,(1.36%)
"Fiserv, Inc.",FISV,0.05%,61.29,-1.81,(-2.87%)
Huntington Bancshares,HBAN,0.05%,16.12,-0.19,(-1.16%)
Archer Daniels Midland,ADM,0.05%,67.92,0.48,(0.71%)
Dollar General,DG,0.05%,145.52,-0.79,(-0.54%)
"EMCOR Group, Inc.",EME,0.05%,719.18,13.39,(1.90%)
Iron Mountain,IRM,0.05%,107.14,1.96,(1.86%)
Vici Properties,VICI,0.05%,29.50,-0.17,(-0.57%)
Cboe Global Markets,CBOE,0.05%,299.20,-2.07,(-0.69%)
M&T Bank,MTB,0.05%,208.66,-1.80,(-0.86%)
DTE Energy,DTE,0.05%,148.96,-1.17,(-0.78%)
Cognizant,CTSH,0.05%,64.65,-1.61,(-2.43%)
Extra Space Storage,EXR,0.05%,146.29,-0.33,(-0.23%)
Ameren,AEE,0.05%,111.16,-0.36,(-0.32%)
Atmos Energy,ATO,0.05%,185.24,0.20,(0.11%)
United Airlines Holdings,UAL,0.05%,94.52,2.45,(2.66%)
IQVIA,IQV,0.05%,178.55,4.06,(2.33%)
Teledyne Technologies,TDY,0.05%,654.06,6.42,(0.99%)
Interactive Brokers Group,IBKR,0.05%,67.49,0.79,(1.18%)
Xylem Inc.,XYL,0.05%,123.52,0.37,(0.30%)
Waters Corporation,WAT,0.05%,305.67,3.13,(1.03%)
Raymond James Financial,RJF,0.05%,151.19,-0.86,(-0.57%)
Expedia Group,EXPE,0.05%,241.54,-8.08,(-3.24%)
"Tapestry, Inc.",TPR,0.05%,145.50,1.35,(0.94%)
FirstEnergy,FE,0.05%,50.96,0.12,(0.24%)
Halliburton,HAL,0.05%,34.65,0.60,(1.76%)
Verisk Analytics,VRSK,0.05%,210.28,-4.56,(-2.12%)
Hewlett Packard Enterprise,HPE,0.05%,21.81,0.68,(3.22%)
Kraft Heinz,KHC,0.05%,24.44,-0.10,(-0.41%)
PPL Corporation,PPL,0.05%,38.31,-0.24,(-0.62%)
Ulta Beauty,ULTA,0.05%,642.22,-4.12,(-0.64%)
Dover Corporation,DOV,0.05%,211.00,2.58,(1.24%)
CenterPoint Energy,CNP,0.05%,43.48,-0.13,(-0.30%)
Charter Communications,CHTR,0.05%,222.81,-9.43,(-4.06%)
Willis Towers Watson,WTW,0.05%,294.67,-8.27,(-2.73%)
Devon Energy,DVN,0.05%,44.82,0.34,(0.76%)
Eversource Energy,ES,0.05%,73.85,-0.59,(-0.79%)
"Rollins, Inc.",ROL,0.04%,57.57,-0.71,(-1.22%)
Biogen,BIIB,0.04%,188.24,3.37,(1.82%)
Edison International,EIX,0.04%,70.73,-1.03,(-1.44%)
American Water Works,AWK,0.04%,137.73,0.24,(0.17%)
Tractor Supply,TSCO,0.04%,50.67,0.51,(1.02%)
Fidelity National Information Services,FIS,0.04%,51.62,0.13,(0.25%)
Dexcom,DXCM,0.04%,68.74,0.64,(0.94%)
Steel Dynamics,STLD,0.04%,182.36,0.75,(0.41%)
Jabil,JBL,0.04%,247.46,6.37,(2.64%)
Omnicom Group,OMC,0.04%,83.99,-0.94,(-1.11%)
Expand Energy,EXE,0.04%,107.87,1.03,(0.96%)
Hubbell Incorporated,HUBB,0.04%,487.76,16.22,(3.44%)
Constellation Brands,STZ,0.04%,148.96,2.49,(1.70%)
Northern Trust,NTRS,0.04%,138.41,-0.18,(-0.13%)
W. R. Berkley Corporation,WRB,0.04%,68.24,-1.68,(-2.40%)
Cincinnati Financial,CINF,0.04%,163.32,-2.07,(-1.25%)
Mettler Toledo,MTD,0.04%,1248.62,38.97,(3.22%)
Citizens Financial Group,CFG,0.04%,58.31,0.27,(0.47%)
AvalonBay Communities,AVB,0.04%,176.71,-1.18,(-0.66%)
Lennar,LEN,0.04%,99.94,-1.23,(-1.22%)
Dow Inc.,DOW,0.04%,34.31,1.03,(3.09%)
Equifax,EFX,0.04%,204.61,-3.22,(-1.55%)
Ares Management Corporation,ARES,0.04%,108.85,-1.16,(-1.05%)
PulteGroup,PHM,0.04%,126.66,-1.18,(-0.92%)
Church & Dwight,CHD,0.04%,102.25,1.55,(1.54%)
PPG Industries,PPG,0.04%,108.25,1.55,(1.45%)
Brown & Brown,BRO,0.04%,71.04,-2.46,(-3.35%)
Qnity Electronics,Q,0.04%,114.25,4.11,(3.73%)
Coterra,CTRA,0.04%,31.18,0.15,(0.48%)
CMS Energy,CMS,0.04%,77.24,0.08,(0.10%)
Equity Residential,EQR,0.04%,62.18,-0.54,(-0.86%)
ON Semiconductor,ON,0.04%,59.23,2.36,(4.15%)
Synchrony Financial,SYF,0.04%,67.12,0.45,(0.67%)
Veralto,VLTO,0.04%,94.06,-0.27,(-0.29%)
Regions Financial Corporation,RF,0.04%,26.96,-0.08,(-0.30%)
Darden Restaurants,DRI,0.04%,201.64,-1.54,(-0.76%)
General Mills,GIS,0.04%,43.40,-0.89,(-2.01%)
Dollar Tree,DLTR,0.04%,115.85,0.06,(0.05%)
Bunge Global,BG,0.04%,118.79,2.12,(1.82%)
Leidos,LDOS,0.04%,179.54,1.65,(0.93%)
LabCorp,LH,0.04%,273.61,3.94,(1.46%)
NiSource,NI,0.04%,47.03,0.57,(1.23%)
Loews Corporation,L,0.04%,109.10,-0.56,(-0.51%)
Williams-Sonoma,WSM,0.04%,188.30,1.78,(0.95%)
Steris,STE,0.04%,227.72,-2.79,(-1.21%)
Verisign,VRSN,0.04%,242.38,-1.40,(-0.57%)
Corpay,CPAY,0.04%,325.60,11.20,(3.56%)
Quest Diagnostics,DGX,0.04%,201.58,2.37,(1.19%)
Broadridge Financial Solutions,BR,0.04%,189.01,-7.87,(-4.00%)
Smurfit WestRock,SW,0.04%,42.09,-0.76,(-1.77%)
Moderna,MRNA,0.04%,55.74,3.22,(6.13%)
Tyson Foods,TSN,0.04%,61.33,-0.10,(-0.16%)
C.H. Robinson,CHRW,0.04%,181.94,2.30,(1.28%)
Humana,HUM,0.03%,178.53,-0.62,(-0.35%)
LyondellBasell,LYB,0.03%,66.82,-0.29,(-0.43%)
